name,score,smiles,inchikey,source,mw
Hesperidin,0.78,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,QUQPHWDTPGMPEX-QJBIFVCTSA-N,NAFLDkb_investigational,610.57
Hydroxy citric acid,0.78,O.O=C(O)CC(O)(CC(=O)O)C(=O)O,YASYEJJMZJALEJ-UHFFFAOYSA-N,NAFLDkb_investigational,210.14
Hydroxytyrosol,0.78,OCCc1ccc(O)c(O)c1,JUUBCHWRXWPFFH-UHFFFAOYSA-N,NAFLDkb_investigational,154.16
INT-767,0.78,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCOS(=O)(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12.[Na],DQIGKAIZUNNJGO-PMWRKVJASA-N,NAFLDkb_investigational,495.68
Icosabutate,0.78,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(CC)C(=O)O,VOGXDRFFBBLZBT-AAQCHOMXSA-N,NAFLDkb_investigational,374.57
Idebenone,0.78,COC1=C(OC)C(=O)C(CCCCCCCCCCCCO)=C(C)C1=O,VMHWZDULLBLUMS-UHFFFAOYSA-N,NAFLDkb_investigational,366.5
Ipragliflozin,0.78,OC[C@H]1O[C@@H](c2ccc(F)c(Cc3cc4ccccc4s3)c2)[C@H](O)[C@@H](O)[C@@H]1O,AHFWIQIYAXSLBA-RQXATKFSSA-N,NAFLDkb_investigational,404.46
Itraconazole,0.78,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,VHVPQPYKVGDNFY-ZPGVKDDISA-N,NAFLDkb_investigational,705.65
JKB-121,0.78,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,WJBLNOPPDWQMCH-MBPVOVBZSA-N,NAFLDkb_investigational,339.44
Kestose,0.78,OC[C@H]1O[C@@](CO)(OC[C@H]2O[C@@](CO)(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,ODEHMIGXGLNAKK-OESPXIITSA-N,NAFLDkb_investigational,504.44
L-Carnitine,0.78,C[N+](C)(C)C[C@H](O)CC(=O)[O-],PHIQHXFUZVPYII-ZCFIWIBFSA-N,NAFLDkb_investigational,161.2
